area,Date,Rt_025,Rt_05,Rt_10,Rt_20,Rt_25,Rt_30,Rt_40,Rt_50,Rt_60,Rt_70,Rt_75,Rt_80,Rt_90,Rt_95,Rt_975,provenance
"North East and Yorkshire",2021-04-19,0.78,0.81,0.84,0.89,0.91,0.93,0.96,0.98,1.01,1.04,1.07,1.10,1.17,1.24,1.34,projected
"North East and Yorkshire",2021-04-20,0.78,0.81,0.84,0.89,0.91,0.93,0.96,0.98,1.01,1.04,1.07,1.10,1.17,1.24,1.34,projected
"North East and Yorkshire",2021-04-21,0.78,0.81,0.84,0.89,0.91,0.93,0.96,0.98,1.01,1.04,1.07,1.10,1.17,1.24,1.34,projected
"North East and Yorkshire",2021-04-22,0.78,0.81,0.84,0.89,0.91,0.93,0.96,0.98,1.01,1.04,1.07,1.10,1.17,1.24,1.34,projected
"North East and Yorkshire",2021-04-23,0.78,0.81,0.84,0.89,0.91,0.93,0.96,0.98,1.01,1.04,1.07,1.10,1.17,1.24,1.34,projected
"North East and Yorkshire",2021-04-24,0.78,0.81,0.84,0.89,0.91,0.93,0.96,0.98,1.01,1.04,1.07,1.10,1.17,1.24,1.34,projected
"North East and Yorkshire",2021-04-25,0.78,0.81,0.84,0.89,0.91,0.93,0.96,0.98,1.01,1.04,1.07,1.10,1.17,1.24,1.34,projected
"North West",2020-12-21,1.90,1.91,1.91,1.92,1.93,1.93,1.93,1.94,1.94,1.95,1.95,1.95,1.96,1.97,1.97,inferred
"North West",2020-12-22,1.90,1.91,1.91,1.92,1.93,1.93,1.93,1.94,1.94,1.95,1.95,1.95,1.96,1.97,1.97,inferred
"North West",2020-12-23,1.90,1.91,1.91,1.92,1.93,1.93,1.93,1.94,1.94,1.95,1.95,1.95,1.96,1.97,1.97,inferred
"North West",2020-12-24,1.90,1.91,1.91,1.92,1.93,1.93,1.93,1.94,1.94,1.95,1.95,1.95,1.96,1.97,1.97,inferred
"North West",2020-12-25,1.90,1.91,1.91,1.92,1.93,1.93,1.93,1.94,1.94,1.95,1.95,1.95,1.96,1.97,1.97,inferred
"North West",2020-12-26,1.90,1.91,1.91,1.92,1.93,1.93,1.93,1.94,1.94,1.95,1.95,1.95,1.96,1.97,1.97,inferred
"North West",2020-12-27,1.90,1.91,1.91,1.92,1.93,1.93,1.93,1.94,1.94,1.95,1.95,1.95,1.96,1.97,1.97,inferred
"North West",2020-12-28,1.26,1.26,1.27,1.28,1.28,1.28,1.29,1.29,1.29,1.30,1.30,1.30,1.31,1.32,1.33,inferred
"North West",2020-12-29,1.26,1.26,1.27,1.28,1.28,1.28,1.29,1.29,1.29,1.30,1.30,1.30,1.31,1.32,1.33,inferred
"North West",2020-12-30,1.26,1.26,1.27,1.28,1.28,1.28,1.29,1.29,1.29,1.30,1.30,1.30,1.31,1.32,1.33,inferred
"North West",2020-12-31,1.26,1.26,1.27,1.28,1.28,1.28,1.29,1.29,1.29,1.30,1.30,1.30,1.31,1.32,1.33,inferred
"North West",2021-01-01,1.26,1.26,1.27,1.28,1.28,1.28,1.29,1.29,1.29,1.30,1.30,1.30,1.31,1.32,1.33,inferred
"North West",2021-01-02,1.26,1.26,1.27,1.28,1.28,1.28,1.29,1.29,1.29,1.30,1.30,1.30,1.31,1.32,1.33,inferred
"North West",2021-01-03,1.26,1.26,1.27,1.28,1.28,1.28,1.29,1.29,1.29,1.30,1.30,1.30,1.31,1.32,1.33,inferred
"North West",2021-01-04,0.78,0.78,0.79,0.79,0.80,0.80,0.80,0.80,0.81,0.81,0.81,0.82,0.82,0.83,0.83,inferred
"North West",2021-01-05,0.78,0.78,0.79,0.79,0.80,0.80,0.80,0.80,0.81,0.81,0.81,0.82,0.82,0.83,0.83,inferred
"North West",2021-01-06,0.78,0.78,0.79,0.79,0.80,0.80,0.80,0.80,0.81,0.81,0.81,0.82,0.82,0.83,0.83,inferred
"North West",2021-01-07,0.78,0.78,0.79,0.79,0.80,0.80,0.80,0.80,0.81,0.81,0.81,0.82,0.82,0.83,0.83,inferred
"North West",2021-01-08,0.78,0.78,0.79,0.79,0.80,0.80,0.80,0.80,0.81,0.81,0.81,0.82,0.82,0.83,0.83,inferred
"North West",2021-01-09,0.78,0.78,0.79,0.79,0.80,0.80,0.80,0.80,0.81,0.81,0.81,0.82,0.82,0.83,0.83,inferred
"North West",2021-01-10,0.78,0.78,0.79,0.79,0.80,0.80,0.80,0.80,0.81,0.81,0.81,0.82,0.82,0.83,0.83,inferred
"North West",2021-01-11,0.72,0.72,0.73,0.74,0.74,0.74,0.75,0.75,0.76,0.76,0.76,0.77,0.77,0.78,0.78,inferred
"North West",2021-01-12,0.72,0.72,0.73,0.74,0.74,0.74,0.75,0.75,0.76,0.76,0.76,0.77,0.77,0.78,0.78,inferred
"North West",2021-01-13,0.72,0.72,0.73,0.74,0.74,0.74,0.75,0.75,0.76,0.76,0.76,0.77,0.77,0.78,0.78,inferred
"North West",2021-01-14,0.72,0.72,0.73,0.74,0.74,0.74,0.75,0.75,0.76,0.76,0.76,0.77,0.77,0.78,0.78,inferred
"North West",2021-01-15,0.72,0.72,0.73,0.74,0.74,0.74,0.75,0.75,0.76,0.76,0.76,0.77,0.77,0.78,0.78,inferred
"North West",2021-01-16,0.72,0.72,0.73,0.74,0.74,0.74,0.75,0.75,0.76,0.76,0.76,0.77,0.77,0.78,0.78,inferred
"North West",2021-01-17,0.72,0.72,0.73,0.74,0.74,0.74,0.75,0.75,0.76,0.76,0.76,0.77,0.77,0.78,0.78,inferred
"North West",2021-01-18,0.72,0.72,0.73,0.73,0.74,0.74,0.74,0.74,0.75,0.75,0.75,0.76,0.76,0.77,0.77,inferred
"North West",2021-01-19,0.72,0.72,0.73,0.73,0.74,0.74,0.74,0.74,0.75,0.75,0.75,0.76,0.76,0.77,0.77,inferred
"North West",2021-01-20,0.72,0.72,0.73,0.73,0.74,0.74,0.74,0.74,0.75,0.75,0.75,0.76,0.76,0.77,0.77,inferred
"North West",2021-01-21,0.72,0.72,0.73,0.73,0.74,0.74,0.74,0.74,0.75,0.75,0.75,0.76,0.76,0.77,0.77,inferred
